ID,Start time,Completion time,Email,Name,Last modified time,"What year level are you in?
",How long does it take you to travel to school (one way)?,How do you usually get to school?,How many people are in your family (including yourself)?,Which type of learning activities do you tend to enjoy most?,Which language are you currently studying (or have studied the longest)?,What grade do you usually achieve overall?,When do you usually complete your homework?,How do you usually study?,"When preparing for assessments, you usually:",What type of homework do you find most useful?,"On average, how many hours per day do you spend on your phone?","On average, how many hours per week do you spend on social media/messages/gaming?",Do you think you spend more time on social media than you should?,How often do you use AI to help with homework?,What do you mainly use your device for during a school week?,How comfortable are you using new technology tools?,Would you trust Linewize with your Trinity password?,How many hours of sleep do you get on a typical school night?,What time of day are you most productive?,How many days per week do you participate in physical activity?,Which sport do you participate in after school? (Select all that apply),How many extracurricular commitments do you have per week?,"On weekends, you mostly spend your time:",How do you prefer to receive instructions?,"When working on a difficult problem, you usually:",How organised do you consider yourself?,"When given a long-term project, you usually:",Do you prefer structure or flexibility in tasks?,Group projects or solo work?,Where do you usually spend lunchtime?,Which co-curricular area interests you most?,Which house event do you enjoy the most?,Pineapple on pizza?,Dogs or cats?,What type of music do you listen to most?,Do you prefer working in silence or with background noise?,How many languages can you speak confidently?,Which of the following is a berry?,"What year level are you in?
2"
161,2/27/26 10:44:31,2/27/26 10:50:40,anonymous,,,Year 9,Under 15 minutes,Walk,4-5,Business and real-world applications,Not studying a language,B,During school,Independently,Focus closer to the assessment date,All equally useful,0–2 hours,6–10 hours,Not sure,Sometimes,Communication,Comfortable,Yes,8-9 hours,Late at night,7,Rugby;Rowing;,5-6,Socialising,Written steps,Ask a friend,Somewhat organised,Start immediately,Balanced,Depends on the task,Gym,Sport,HPAF,No,Dogs,Rap/Hip-hop,Music,1,Strawberry,Year 9
162,2/27/26 10:44:24,2/27/26 10:50:44,anonymous,,,Year 9,15–30 minutes,Bus,6-7,Physical activity and movement,Chinese,B,After school,Independently,Start early and plan,All equally useful,3–4 hours,21–35 hours,Yes,Sometimes,Social media,Neutral,Not sure,7-8 hours,During school,3-4,Basketball;,3-4,Sport,Demonstration/example,Ask a friend,Somewhat organised,Start halfway,Some structure,Group projects,Library,Sport,Athletics Carnival,Yes,Dogs,R&B,Quiet background noise,2,Strawberry,Year 9
163,2/27/26 10:46:22,2/27/26 10:50:52,anonymous,,,Year 9,31–60 minutes,Car,6-7,Problem-solving and calculations,Latin,A,During school,Independently,Focus closer to the assessment date,All equally useful,0–2 hours,0–5 hours,No,Often,School work,Comfortable,Not sure,6-7 hours,After school,5-6,Rowing;,5-6,Sport,Verbal explanation,Keep trying independently,Somewhat organised,Start immediately,Strong structure,Depends on the task,Library,Clubs/Societies,None,No,Dogs,Other,Quiet background noise,3,Strawberry,Year 9
164,2/27/26 10:38:51,2/27/26 10:51:54,anonymous,,,Year 9,Under 15 minutes,Car,4-5,Technology and coding,French,A,After school,Independently,Prepare gradually,Project-based tasks,0–2 hours,11–20 hours,No,Never,Communication,Very comfortable,No,9+ hours,During school,3-4,Archery;Hockey;,1-2,Creative hobbies,Demonstration/example,Keep trying independently,Somewhat disorganised,Start early,Balanced,Depends on the task,Clubs/Activities,Clubs/Societies,Athletics Carnival,No,Cats,Other,Music,1,Strawberry,Year 13
165,2/27/26 11:18:55,2/27/26 11:24:17,anonymous,,,Year 9,Under 15 minutes,Car,4-5,Business and real-world applications,Chinese,A,After school,Independently,Start early and plan,Practice questions,0–2 hours,0–5 hours,Not sure,Sometimes,School work,Comfortable,Not sure,7-8 hours,During school,3-4,Competitive Swimming;,5-6,Studying,Demonstration/example,Search online,Somewhat organised,Start halfway,Strong structure,Depends on the task,Clubs/Activities,Music,HPAF,Yes,Dogs,Other,Music,2,Banana,Year 9
166,2/27/26 10:45:13,2/27/26 12:39:43,anonymous,,,Year 9,Under 15 minutes,Walk,4-5,Business and real-world applications,German,A,After school,Independently,Prepare gradually,Project-based tasks,0–2 hours,0–5 hours,No,Sometimes,Gaming,Neutral,No,8-9 hours,During school,5-6,Soccer;Table Tennis;,5-6,Creative hobbies,Video,Search online,Somewhat organised,Start early,Balanced,Solo work,Library,Clubs/Societies,None,Yes,Cats,Rock,Quiet background noise,2,Banana,Year 9
167,2/27/26 10:42:22,2/27/26 13:06:05,anonymous,,,Year 9,15–30 minutes,Tram/Train,4-5,Technology and coding,German,A,During school,Independently,Do a quick review before the assessment,All equally useful,3–4 hours,6–10 hours,Yes,Sometimes,Communication,Very comfortable,No,8-9 hours,Late at night,3-4,Basketball;,3-4,Gaming,Demonstration/example,Search online,Somewhat organised,Start close to the deadline,Balanced,Depends on the task,Clubs/Activities,Clubs/Societies,None,Yes,Dogs,Pop,Complete silence,2,Banana,Year 13
168,2/27/26 13:34:13,2/27/26 13:37:05,anonymous,,,Year 9,Under 15 minutes,Car,6-7,Physical activity and movement,Chinese,A,Late at night,With a tutor/teacher,Do a quick review before the assessment,All equally useful,0–2 hours,0–5 hours,Yes,Very often,Communication,Comfortable,No,8-9 hours,Late at night,5-6,Volleyball;Table Tennis;Badminton;,3-4,Gaming,Written steps,Search online,Very disorganised,Start close to the deadline,Balanced,Depends on the task,Library,Sport,HPAF,No,Dogs,Other,Quiet background noise,2,Banana,Year 9
169,2/27/26 13:39:11,2/27/26 13:44:21,anonymous,,,Year 9,Under 15 minutes,Car,4-5,Reading and writing,French,A,Late at night,Independently,Focus closer to the assessment date,All equally useful,3–4 hours,11–20 hours,Yes,Sometimes,Entertainment,Comfortable,No,7-8 hours,During school,1-2,Tennis;Badminton;,5-6,Gaming,Written steps,Search online,Somewhat organised,Start early,Strong structure,Depends on the task,Library,Sport,Swimming,Yes,Cats,K-pop,Complete silence,2,Banana,Year 9
170,2/27/26 13:45:09,2/27/26 13:48:36,anonymous,,,Year 10,Under 15 minutes,Walk,1-3,Technology and coding,Chinese,A,After school,With friends,Focus closer to the assessment date,All equally useful,5–6 hours,36+ hours,Yes,Often,School work,Very comfortable,Yes,6-7 hours,After school,3-4,Competitive Swimming;Hockey;,1-2,Socialising,Figure it out myself,Take a break and return later,Somewhat disorganised,Start immediately,Very flexible,Depends on the task,Oval,Clubs/Societies,Swimming,Yes,Dogs,Pop,Music,1,Banana,Year 10
171,2/27/26 13:45:34,2/27/26 13:49:48,anonymous,,,Year 10,31–60 minutes,Tram/Train,4-5,Technology and coding,Latin,A,After school,Independently,Focus closer to the assessment date,Practice questions,0–2 hours,0–5 hours,No,Sometimes,Gaming,Very comfortable,No,7-8 hours,After school,5-6,Competitive Swimming;,1-2,Gaming,Demonstration/example,Search online,Somewhat organised,Start halfway,Balanced,Depends on the task,Library,Music,Swimming,No,Dogs,R&B,Music,1,Strawberry,Year 10
172,2/27/26 13:45:06,2/27/26 13:50:23,anonymous,,,Year 10,Under 15 minutes,Car,4-5,Technology and coding,German,A,Late at night,Independently,Focus closer to the assessment date,All equally useful,5–6 hours,21–35 hours,Yes,Sometimes,School work,Comfortable,No,6-7 hours,Late at night,3-4,Table Tennis;,3-4,Gaming,Demonstration/example,Search online,Somewhat disorganised,Start halfway,Balanced,Depends on the task,Library,Clubs/Societies,None,No,Cats,Other,Complete silence,1,Banana,Year 10
173,2/27/26 13:45:32,2/27/26 13:51:09,anonymous,,,Year 10,31–60 minutes,Car,1-3,Physical activity and movement,German,A,After school,Independently,Start early and plan,Revision summaries,0–2 hours,0–5 hours,Yes,Sometimes,School work,Very comfortable,No,9+ hours,Before school,7,Fencing;Rowing;,7+,Sport,Written steps,Take a break and return later,Somewhat organised,Start early,Strong structure,Depends on the task,Gym,Sport,Athletics Carnival,Yes,Cats,Other,Music,3,Banana,Year 10
174,2/27/26 13:44:59,2/27/26 13:51:13,anonymous,,,Year 10,31–60 minutes,Tram/Train,6-7,Technology and coding,Latin,A+,Late at night,With a tutor/teacher,Focus closer to the assessment date,Practice questions,3–4 hours,0–5 hours,Yes,Sometimes,School work,Comfortable,No,6-7 hours,Before school,5-6,Cricket;Hockey;,5-6,Sport,Demonstration/example,Keep trying independently,Somewhat organised,Start halfway,Balanced,Solo work,Library,Sport,Swimming,Yes,Dogs,Rap/Hip-hop,Music,4+,Strawberry,Year 13
175,2/27/26 13:46:47,2/27/26 13:51:36,anonymous,,,Year 10,Under 15 minutes,Car,4-5,Technology and coding,Chinese,A+,Late at night,Independently,Focus closer to the assessment date,Revision summaries,0–2 hours,0–5 hours,No,Often,Communication,Very comfortable,No,7-8 hours,After school,3-4,Competitive Swimming;,3-4,Studying,Demonstration/example,Search online,Somewhat organised,Start halfway,Some structure,Depends on the task,Library,Drama,HPAF,No,Dogs,Pop,Music,2,Strawberry,Year 10
176,2/27/26 13:45:10,2/27/26 13:52:56,anonymous,,,Year 10,15–30 minutes,Car,4-5,Experiments and investigations,Latin,B,After school,Independently,Prepare gradually,Project-based tasks,3–4 hours,6–10 hours,No,Sometimes,School work,Very comfortable,No,6-7 hours,During school,3-4,Archery;Badminton;,3-4,Gaming,Verbal explanation,Ask a friend,Neutral,Start halfway,Balanced,Depends on the task,Library,Sport,None,Yes,Dogs,Other,Music,2,Brocoli,Year 10
177,2/27/26 13:44:54,2/27/26 13:52:57,anonymous,,,Year 9,15–30 minutes,Walk,4-5,Problem-solving and calculations,French,B,After school,Independently,Focus closer to the assessment date,Revision summaries,3–4 hours,6–10 hours,No,Sometimes,School work,Neutral,No,9+ hours,Late at night,3-4,Basketball;,3-4,Studying,Figure it out myself,Search online,Somewhat organised,Start halfway,Balanced,Depends on the task,Library,Clubs/Societies,None,Yes,Cats,Other,Music,3,Banana,Year 13
178,2/27/26 13:45:08,2/27/26 13:53:32,anonymous,,,Year 10,31–60 minutes,Car,4-5,Business and real-world applications,Latin,A,After school,Independently,Focus closer to the assessment date,Practice questions,5–6 hours,0–5 hours,No,Very often,School work,Comfortable,No,8-9 hours,Late at night,7,Basketball;,7+,Creative hobbies,Video,Search online,Somewhat organised,Start early,Flexible,Solo work,Senior School Quad,Music,HPAF,Yes,Dogs,Pop,Music,2,Banana,Year 10
179,2/27/26 13:48:13,2/27/26 13:55:07,anonymous,,,Year 10,15–30 minutes,Tram/Train,1-3,Problem-solving and calculations,Chinese,A,During school,Independently,Start early and plan,Practice questions,0–2 hours,0–5 hours,No,Rarely,School work,Very comfortable,No,8-9 hours,After school,7,Basketball;,0,Studying,Figure it out myself,Keep trying independently,Very organised,Start early,Strong structure,Group projects,Senior School Quad,Sport,Athletics Carnival,No,Dogs,Pop,Music,2,Brocoli,Year 10
180,2/27/26 13:47:32,2/27/26 13:55:50,anonymous,,,Year 10,15–30 minutes,Tram/Train,4-5,Physical activity and movement,French,A,After school,Independently,Start early and plan,All equally useful,3–4 hours,6–10 hours,No,Sometimes,School work,Neutral,Not sure,8-9 hours,During school,5-6,Soccer;,3-4,Creative hobbies,Figure it out myself,Search online,Neutral,Start early,Balanced,Depends on the task,Senior School Quad,Sport,None,Yes,Dogs,Other,Quiet background noise,2,Not sure,Year 13
181,2/27/26 14:10:28,2/27/26 14:16:59,anonymous,,,Year 10,Under 15 minutes,Tram/Train,4-5,Problem-solving and calculations,French,A+,After school,Independently,Prepare gradually,Practice questions,3–4 hours,36+ hours,No,Very often,Entertainment,Comfortable,No,6-7 hours,After school,0,Hockey;Badminton;,1-2,Creative hobbies,Video,Keep trying independently,Very organised,Start immediately,Very flexible,Solo work,Senior School Quad,Music,HPAF,No,Cats,Rap/Hip-hop,Busy environment,2,Brocoli,Year 10
182,2/27/26 19:25:38,2/27/26 19:30:48,anonymous,,,Year 10,15–30 minutes,Tram/Train,4-5,Technology and coding,Chinese,A+,After school,Independently,Focus closer to the assessment date,Practice questions,0–2 hours,6–10 hours,No,Sometimes,School work,Comfortable,No,7-8 hours,After school,3-4,Table Tennis;Badminton;,5-6,Studying,Written steps,Take a break and return later,Neutral,Start halfway,Some structure,Solo work,Library,Sport,HPAF,Yes,Dogs,Other,Quiet background noise,3,Strawberry,Year 10
183,2/28/26 20:00:24,2/28/26 20:07:00,anonymous,,,Year 10,15–30 minutes,Car,4-5,Problem-solving and calculations,French,B,Late at night,With friends,Focus closer to the assessment date,Project-based tasks,0–2 hours,21–35 hours,No,Rarely,Gaming,Very comfortable,Not sure,Less than 6 hours,Late at night,5-6,Soccer;Cycling;,7+,Gaming,Figure it out myself,Keep trying independently,Very disorganised,Start close to the deadline,Very flexible,Depends on the task,Library,Drama,HPAF,Yes,Cats,Rock,Music,1,Banana,Year 10
184,3/02/2026 15:03,3/02/2026 15:08,anonymous,,,Year 9,Under 15 minutes,Walk,4-5,Business and real-world applications,French,A+,After school,Independently,Focus closer to the assessment date,Project-based tasks,3–4 hours,21–35 hours,Yes,Rarely,Social media,Very comfortable,No,7-8 hours,During school,5-6,Basketball;Soccer;,3-4,Sport,Written steps,Ask a friend,Somewhat organised,Start halfway,Flexible,Depends on the task,Oval,Sport,HPAF,No,Dogs,Other,Complete silence,2,Banana,Year 9
